Location ID,Depot Id,Product Code,Day of the Week,Schedule with Wave,Time Code,Priority,Comments 1,Comments 2,Comments 3,Comments 4,Trailer Type
6364,37198,10,Thursday,2,410,1,,,,,rigid10m18t
6364,37198,11,Thursday,2,410,1,,,,,rigid10m18t
6364,37198,5,Thursday,2,410,1,,,,,rigid10m18t
6365,37198,10,Thursday,2,755,1,,,,,rigid10m18t
6365,37198,11,Thursday,2,755,1,,,,,rigid10m18t
6365,37198,5,Thursday,2,755,1,,,,,rigid10m18t
6371,37198,10,Thursday,2,338,1,,,,,rigid10m18t
6371,37198,11,Thursday,2,338,1,,,,,rigid10m18t
6371,37198,5,Thursday,2,18,1,,,,,rigid10m18t
6390,37198,10,Thursday,2,414,1,,,,,10m
6390,37198,11,Thursday,2,414,1,,,,,10m
6390,37198,5,Thursday,2,414,1,,,,,10m
6408,37198,10,Thursday,2,108,1,,,,,8m
6408,37198,11,Thursday,2,108,1,,,,,8m
6408,37198,5,Thursday,2,108,1,,,,,8m
6413,37198,10,Thursday,2,122,1,,,,,10m
6413,37198,11,Thursday,2,122,1,,,,,10m
6413,37198,5,Thursday,2,222,1,,,,,10m
6422,37198,10,Thursday,2,410,1,,,,,rigid10m18t
6422,37198,11,Thursday,2,410,1,,,,,rigid10m18t
6422,37198,5,Thursday,2,410,1,,,,,rigid10m18t
6431,37198,10,Thursday,2,37,1,,,,,rigid10m18t
6431,37198,11,Thursday,2,37,1,,,,,rigid10m18t
6431,37198,5,Thursday,2,37,1,,,,,rigid10m18t
6434,37198,10,Thursday,2,410,1,,,,,8m
6434,37198,11,Thursday,2,1440,1,,,,,8m
6434,37198,5,Thursday,2,410,1,,,,,8m
6440,37198,10,Thursday,2,6,1,,,,,13m
6440,37198,10,Thursday,2,38,2,,,,,13m
6440,37198,10,Thursday,2,38,3,,,,,13m
6440,37198,11,Thursday,2,6,1,,,,,13m
6440,37198,11,Thursday,2,38,2,,,,,13m
6440,37198,11,Thursday,2,38,3,,,,,13m
6440,37198,5,Thursday,2,6,1,,,,,13m
6483,37198,10,Thursday,2,608,1,,,,,rigid10m18t
6483,37198,11,Thursday,2,608,1,,,,,rigid10m18t
6483,37198,5,Thursday,2,608,1,,,,,rigid10m18t
6499,37198,10,Thursday,2,308,1,,,,,rigid8m16t
6499,37198,11,Thursday,2,308,1,,,,,rigid8m16t
6499,37198,5,Thursday,2,308,1,,,,,rigid8m16t
6545,37198,10,Thursday,2,414,1,,,,,rigid10m18t
6545,37198,11,Thursday,2,414,1,,,,,rigid10m18t
6545,37198,5,Thursday,2,414,1,,,,,rigid10m18t
6554,37198,10,Thursday,2,1528,1,,,,,8m
6554,37198,11,Thursday,2,1528,1,,,,,8m
