Store Id,Grocery,Grocery Trunk,Fresh,Fresh Trunk,Frozen,Frozen Trunk
3440,#N/A,#N/A,30102,30102,#N/A,#N/A
3442,#N/A,#N/A,30053,30053,#N/A,#N/A
3443,#N/A,#N/A,30053,30053,#N/A,#N/A
3447,#N/A,#N/A,30103,30103,37197,30103
3450,#N/A,#N/A,30053,30053,#N/A,#N/A
3451,#N/A,#N/A,30103,30103,37197,30103
3455,#N/A,#N/A,30103,30103,37197,30103
3456,#N/A,#N/A,30053,30053,#N/A,#N/A
3460,#N/A,#N/A,30103,30103,37197,30103
3461,34517,30103,30103,30103,37197,30103
3462,#N/A,#N/A,30053,30053,#N/A,#N/A
3463,#N/A,#N/A,30102,30102,#N/A,#N/A
3465,#N/A,#N/A,30103,30103,37197,30103
3469,#N/A,#N/A,30103,30103,37197,30103
3470,#N/A,#N/A,30053,30053,37197,30053
3481,#N/A,#N/A,30052,30052,37197,30052
3485,#N/A,#N/A,30053,30053,#N/A,#N/A
3493,#N/A,#N/A,30103,30103,37197,30103
4335,#N/A,#N/A,30053,30053,37197,30053
4338,#N/A,#N/A,30053,30053,37197,30053
4341,#N/A,#N/A,30103,30103,37197,30103
4343,34517,30103,30103,30103,37197,30103
4357,#N/A,#N/A,30102,30102,#N/A,#N/A
4377,#N/A,#N/A,30053,30053,#N/A,#N/A
4380,#N/A,#N/A,30103,30103,37197,30103
4395,#N/A,#N/A,30053,30053,37197,30053
4403,34517,30103,30103,30103,37197,30103
4409,#N/A,#N/A,30053,30053,37197,30053
4413,#N/A,#N/A,30103,30103,37197,30103
4423,#N/A,#N/A,30103,30103,37197,30103
4431,#N/A,#N/A,30053,30053,#N/A,#N/A
4432,34517,30103,30103,30103,37197,30103
4445,#N/A,#N/A,34515,34515,37197,34515
4466,#N/A,#N/A,30103,30103,37197,30103
4469,#N/A,#N/A,34515,34515,37197,34515
4477,#N/A,#N/A,30103,30103,37197,30103
4480,#N/A,#N/A,30053,30053,37197,30053
4503,#N/A,#N/A,30053,30053,#N/A,#N/A
4512,#N/A,#N/A,30102,30102,#N/A,#N/A
4540,#N/A,#N/A,30053,30053,37197,30053
4541,#N/A,#N/A,30053,30053,#N/A,#N/A
4555,#N/A,#N/A,30102,30102,#N/A,#N/A
4558,#N/A,#N/A,30053,30053,37197,30053
4573,#N/A,#N/A,30053,30053,#N/A,#N/A
4579,#N/A,#N/A,30103,30103,37197,30103
4611,#N/A,#N/A,30103,30103,37197,30103
4614,#N/A,#N/A,34515,34515,37197,34515
4615,#N/A,#N/A,30103,30103,37197,30103
4622,#N/A,#N/A,30053,30053,37197,30053
