Location Id,Depot Id,Product Code,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Bank Holiday
57816,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57816,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57840,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57840,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57841,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57841,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57843,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57843,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57845,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57845,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57864,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57864,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57879,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57879,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57879,30103,10,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57908,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57908,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57909,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57909,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57918,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57918,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57923,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57923,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57926,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57926,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
57926,30103,10,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
58004,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
58004,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
58011,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
58011,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
8881000,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
8881000,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
storage001,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
storage001,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
storage003,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
storage003,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
4804,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
4804,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53092,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53092,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53094,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53094,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53095,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53095,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
4824,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
4824,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
4816,30103,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
4816,30103,8,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00
4829,30103,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
4829,30103,8,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00
4783,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
4783,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
4798,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
