Location Id,Location Name,Location Type,Format,Dotcom Locations,Night to Day Locations,Number of Bays,Drop Sequence,Paired Location,Last Drop Restriction,Council Restricted,Country,Cage Consolidation,Vol Before Cage Consolidation
5377,London Rd Sth Benfleet Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5380,Aldersgate London Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5383,Salisbury Rd Haringay Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5404,Haggerston Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5408,Interchange Chelmsford Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5418,45 Whitechapel Rd Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5430,Mill Harbour Iod Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5432,Trafalgar Greenwich Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5453,Highbury,Store,Metro,No,No,1,,,No,,England,Yes,7
5460,Clifton Lee London,Store,Express,No,No,1,,,No,,England,Yes,7
5465,West Mersea,Store,Express,No,No,1,,,No,,England,Yes,7
5469,Stoke Newington High Street,Store,Express,No,No,1,,,No,,England,Yes,7
5481,"Tower Mews, Walthamstow",Store,Express,No,No,1,,,No,,England,Yes,7
