Fixed Trip Id,Start Location,End Location,Drop Location,Target,Sequence,Arrival Time,Visit Type,Vehicle Type,Day of the Week,Day of the Leg,Schedule with Wave,Driver,Product Code,Volume,Flexible Start,Flexible End
49,30053,30053,8880030,,3,01:30-02:29,Delivery,13m,Friday,Saturday,2,,7,45,No,No
49,30053,30053,8880030,,4,02:30-03:29,Collection,13m,Friday,Saturday,2,,7,45,No,No
50,30053,30053,7892100,,1,14:00-14:01,Delivery,13m,Saturday,Saturday,2,,6,45,No,No
52,30053,30053,2064,,1,02:00-02:59,Delivery,13m,Saturday,Saturday,1,,1,,No,No
52,30053,30053,30102,,2,04:30-05:29,Collection,13m,Saturday,Saturday,1,,7,45,No,No
52,30053,30053,8880030,,3,05:30-06:29,Delivery,13m,Saturday,Saturday,1,,7,45,No,No
52,30053,30053,8880030,,4,06:30-07:29,Collection,13m,Saturday,Saturday,1,,7,45,No,No
53,30053,30053,3230,,1,21:30-22:29,Delivery,13m,Saturday,Saturday,2,,1,,No,No
53,30053,30053,34515,,2,00:00-00:59,Collection,13m,Saturday,Sunday,2,,7,45,No,No
53,30053,30053,6126812,,3,01:00-01:59,Delivery,13m,Saturday,Sunday,2,,7,45,No,No
53,30053,30053,6126812,,4,02:00-02:59,Collection,13m,Saturday,Sunday,2,,7,45,No,No
54,30053,30053,4480,,1,22:00-22:59,Delivery,13m,Saturday,Saturday,2,,1,,No,No
54,30053,30053,30102,,2,00:30-01:29,Collection,13m,Saturday,Sunday,2,,7,45,No,No
54,30053,30053,8880030,,3,01:30-02:29,Delivery,13m,Saturday,Sunday,2,,7,45,No,No
54,30053,30053,8880030,,4,02:30-03:29,Collection,13m,Saturday,Sunday,2,,7,45,No,No
56,30053,30053,2064,,1,02:00-02:59,Delivery,13m,Sunday,Sunday,1,,1,,No,No
56,30053,30053,30102,,2,04:30-05:29,Collection,13m,Sunday,Sunday,1,,7,45,No,No
56,30053,30053,8880030,,3,05:30-06:29,Delivery,13m,Sunday,Sunday,1,,7,45,No,No
56,30053,30053,8880030,,4,06:30-07:29,Collection,13m,Sunday,Sunday,1,,7,45,No,No
57,30053,30053,3230,,1,21:30-22:29,Delivery,13m,Sunday,Sunday,2,,1,,No,No
57,30053,30053,34515,,2,00:00-00:59,Collection,13m,Sunday,Monday,2,,7,45,No,No
57,30053,30053,6126812,,3,01:00-01:59,Delivery,13m,Sunday,Monday,2,,7,45,No,No
57,30053,30053,6126812,,4,02:00-02:59,Collection,13m,Sunday,Monday,2,,7,45,No,No
58,30053,30053,4480,,1,22:00-22:59,Delivery,13m,Sunday,Sunday,2,,1,,No,No
58,30053,30053,30102,,2,00:30-01:29,Collection,13m,Sunday,Monday,2,,7,45,No,No
58,30053,30053,8880030,,3,01:30-02:29,Delivery,13m,Sunday,Monday,2,,7,45,No,No
58,30053,30053,8880030,,4,02:30-03:29,Collection,13m,Sunday,Monday,2,,7,45,No,No
59,30102,30102,38508,,1,12:00-13:00,Collection,13m,Monday,Monday,2,,6,45,No,No
59,30102,30102,7892100,,2,13:59-14:00,Delivery,13m,Monday,Monday,2,,6,45,No,No
60,30102,30102,1910827,,1,10:59-11:00,Collection,13m,Monday,Monday,2,,7,45,No,No
60,30102,30102,37197,,2,13:00-14:00,Delivery,13m,Monday,Monday,2,,7,45,No,No
60,30102,30102,8880030,,3,14:00-15:00,Collection,13m,Monday,Monday,2,,7,45,No,No
61,30102,30102,1910827,,1,11:00-11:29,Collection,13m,Monday,Monday,2,,7,45,No,No
61,30102,30102,37197,,2,13:30-14:30,Delivery,13m,Monday,Monday,2,,7,45,No,No
61,30102,30102,8880030,,3,14:30-15:30,Collection,13m,Monday,Monday,2,,7,45,No,No
62,30102,30102,1930001,,1,17:30-17:59,Collection,13m,Monday,Monday,2,,7,45,No,No
62,30102,30102,37197,,2,19:30-20:30,Delivery,13m,Monday,Monday,2,,7,45,No,No
62,30102,30102,1931004,,3,22:00-23:00,Collection,13m,Monday,Monday,2,,7,45,No,No
63,30102,30102,1930001,,1,19:30-19:59,Collection,13m,Monday,Monday,2,,7,45,No,No
63,30102,30102,37197,,2,21:30-22:30,Delivery,13m,Monday,Monday,2,,7,45,No,No
64,30102,30102,38508,,1,11:30-12:30,Collection,13m,Tuesday,Tuesday,2,,6,45,No,No
64,30102,30102,7892100,,2,13:59-14:00,Delivery,13m,Tuesday,Tuesday,2,,6,45,No,No
65,30102,30102,1910827,,1,10:59-11:00,Collection,13m,Tuesday,Tuesday,2,,7,45,No,No
65,30102,30102,37197,,2,13:00-14:00,Delivery,13m,Tuesday,Tuesday,2,,7,45,No,No
65,30102,30102,8880030,,3,14:00-15:00,Collection,13m,Tuesday,Tuesday,2,,7,45,No,No
66,30102,30102,1910827,,1,11:00-11:29,Collection,13m,Tuesday,Tuesday,2,,7,45,No,No
66,30102,30102,37197,,2,13:30-14:30,Delivery,13m,Tuesday,Tuesday,2,,7,45,No,No
66,30102,30102,8880030,,3,14:30-15:30,Collection,13m,Tuesday,Tuesday,2,,7,45,No,No
67,30102,30102,1930001,,1,17:30-17:59,Collection,13m,Tuesday,Tuesday,2,,7,45,No,No
67,30102,30102,37197,,2,19:30-20:30,Delivery,13m,Tuesday,Tuesday,2,,7,45,No,No
68,30102,30102,1930001,,1,19:30-19:59,Collection,13m,Tuesday,Tuesday,2,,7,45,No,No
68,30102,30102,37197,,2,21:30-21:59,Delivery,13m,Tuesday,Tuesday,2,,7,45,No,No
69,30102,30102,38508,,1,11:30-12:30,Collection,13m,Wednesday,Wednesday,2,,6,45,No,No
69,30102,30102,7892100,,2,13:59-14:00,Delivery,13m,Wednesday,Wednesday,2,,6,45,No,No
70,30102,30102,1910827,,1,10:59-11:00,Collection,13m,Wednesday,Wednesday,2,,7,45,No,No
70,30102,30102,37197,,2,13:00-14:00,Delivery,13m,Wednesday,Wednesday,2,,7,45,No,No
70,30102,30102,8880030,,3,14:00-15:00,Collection,13m,Wednesday,Wednesday,2,,7,45,No,No
71,30102,30102,1910827,,1,11:00-11:29,Collection,13m,Wednesday,Wednesday,2,,7,45,No,No
71,30102,30102,37197,,2,13:30-14:30,Delivery,13m,Wednesday,Wednesday,2,,7,45,No,No
71,30102,30102,8880030,,3,14:30-15:30,Collection,13m,Wednesday,Wednesday,2,,7,45,No,No
72,30102,30102,1930001,,1,17:30-17:59,Delivery,13m,Wednesday,Wednesday,2,,7,45,No,No
72,30102,30102,37197,,2,19:30-20:30,Collection,13m,Wednesday,Wednesday,2,,7,45,No,No
