Location Id,Product Code,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Bank Holiday
2708,8,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2713,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2713,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2724,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2724,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2733,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2763,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2763,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2768,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2768,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2770,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2772,1,06:00,06:00,06:00,06:00,06:00,06:00,06:00,06:00
2773,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2780,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2782,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2782,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2785,1,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30
2788,1,07:30,07:30,07:30,07:30,07:30,07:30,07:30,07:30
2788,8,07:30,07:30,07:30,07:30,07:30,07:30,07:30,07:30
2793,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2802,1,06:30,06:30,06:30,06:30,06:30,06:30,06:30,06:30
2802,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2811,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2811,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2812,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
